accession,ler_number,docket,report_date,chars,title
ML26022A036,237-2025-003-00,05000237,2026-01-15,12057,"LER 2025-003-00 for Dresden Nuclear Power Station, Unit 2, High Pressure Coolant Injection Inoperable Due to Failed Indicating Light and Blown Fuse"
ML25122A139,353-2025-001-00,05000353,2025-05-02,10552,"LER 2025-001-00 for Limerick Generating Station, Unit 2, HPCI Valve Isolated during a Surveillance Test due to a Degraded Test Connector"
ML25308A004,254-2025-006-00,05000254,2025-11-04,14137,"LER 2025-006-00 for Quad Cities Nuclear Power Station, Unit 1, High Pressure Coolant Injection Inoperable Due to Turbine Inlet Valve Failure to Open"
ML26149A009,278-2026-001-00,05000278,2026-05-28,13388,"LER 2026-001-00 for Peach Bottom Atomic Power Station, Unit 3, Loss Load Center Due to Potential Transformer Failure"
ML26146A061,296-2026-002-00,05000296,2026-05-26,19073,"LER 2026-002-00 for Browns Ferry Nuclear Plant, Unit 3, Technical Specification Prohibited Mode Change due to Inoperable Reactor Core Isolation Cooling System"
ML26140A011,260-2026-001-00,05000260,2026-05-20,19096,"LER 2026-001-00 for Browns Ferry Nuclear Plant, Unit 2, High Pressure Coolant Injection Steam Line Isolation"
ML26125A399,461-2026-001-00,05000461,2026-05-05,8000,"LER 2026-001-00 for Clinton Power Station, Unit 1, Degraded Security Door"
ML26127A309,353-2026-001-00,05000353,2026-05-07,11217,"LER 2026-001-00 for Limerick Generating Station, Unit 2, Primary Containment Isolation Valves Invalid Actuation due to Failed Relay"
ML26127A317,454-2026-001-00,05000454,2026-05-07,13015,"LER 2026-001-00 for Byron Station, Unit 1, Reactor Vessel Closure Head Penetration 31 Degraded"
ML26119A585,325-2026-001-00,05000325,2026-04-29,12364,"LER 2026-001-00 for Brunswick Steam Electric Plant, Unit 1, Primary Containment Penetration Local Leak Rate Testing Failure"
ML26114A183,321-2026-001-00,05000321,2026-04-24,9126,"LER 2026-001-00 for Edwin I. Hatch Nuclear Plant, Unit 1 Manual Reactor Trip due to Reaching Subcriticality"
ML26112A069,296-2026-001-00,05000296,2026-04-22,20260,"LER 2026-001-00 for Browns Ferry Nuclear Plant, Unit 3, Main Steam Isolation Valve Inoperable due to Poppet Valve Scale Buildup"
ML26111A387,333-2026-002-00,05000333,2026-04-21,16038,"LER 2026-002-00 for James A. FitzPatrick Nuclear Power Plant, Containment Isolation Valve Actuations Caused by Spurious Undervoltage Relay Trip in Reactor Protection System Electric Power Monitoring"
ML26110A379,313-2026-001-00,05000313,2026-04-20,19149,"LER 2026-001-00 for Arkansas Nuclear One, Unit 1, Emergency Diesel Generator Inoperability due to Open Circuit in Engineered Safeguards Starting Circuit"
ML26110A137,446-2026-001-00,05000446,2026-04-20,16673,"LER 2026-001-00 for Comanche Peak Nuclear Power Plant, Unit, Condition Prohibited by Technical Specifications for Containment Ventilation and Isolation due to Human Performance Error"
ML26106A327,333-2026-001-00,05000333,2026-04-16,15789,"LER 2026-001-00 for James A. Fitzpatrick Nuclear Power Plant, Reactor Core Isolation Cooling (RCIC) Inadvertent Actuation"
ML26104A367,416-2026-002-00,05000416,2026-04-14,9877,"LER 2026-002-00 for Grand Gulf Nuclear Station, Unit 1, Loss of Secondary Containment Due to Failed Seals"
ML26099A139,397-2026-001-00,05000397,2026-04-09,12203,"LER 2026-001-00 for Columbia Generating Station, Manual Reactor Scram due to loss of both Reactor Recirculation Pumps"
ML26124A222,255-2026-001-00,05000255,2026-05-04,15809,"LER 2026-001-00 for Palisades Nuclear Plant, Human Performance Error resulted in Emergency Diesel Generator (EDG) 1-2 Actuation"
ML26096A050,298-2026-001-00,05000298,2026-04-06,15034,"LER 2026-001-00 for Cooper Nuclear Station, Diesel Generator 1 Maintenance Exceeded 7-Day Limiting Condition for Operation"
ML26096A457,458-2026-001-00,05000458,2026-04-06,9863,"LER 2026-001-00 for River Bend Station, Unit 1, Loss of Division III Electrical Bus due to Breaker Trip"
ML26089A209,282-2026-001-00,05000282,2026-03-30,11790,"LER 2026-001-00 for Prairie Island Nuclear Generating Plant, Units 1 and 2, Diesel Driven Cooling Water Pump Auto Start based on how System Pressure due to Broken Valve Reach-Rod Bolt"
ML26092A228,416-2026-001-00,05000416,2026-04-02,9999,"LER 2026-001-00 for Grand Gulf Nuclear Station, Unit 1, High Pressure Core Spray Inoperable due to Breaker Trip"
ML26085A023,269-2026-001-00,05000269,2026-03-26,20142,"LER 2026-001-00 for Oconee Nuclear Station, Units 1, 2 and 3, Switchyard Vital Battery Specific Gravity Surveillance Error Results in Operation or Condition Prohibited by Technical Specifications"
ML26080A001,395-2026-001-00,05000395,2026-03-20,10965,"LER 2026-001-00 for Virgil C. Summer Nuclear Station, Unit 1 (VCSNS), Operations Prohibited by Technical Specifications (TS)"
